Test Case ID,Description,Test Procedure,Expected Result,Actual Result,Status,Comments
TC27,Successful Rescheduling,1. Selects appointment. 2. Clicks Reschedule. 3. Selects new date.,"System confirms change. Old slot freed, new slot booked.",Not Implemented,Fail,
TC28,Reschedule - No Slots Available,1. Initiates reschedule. 2. Finds no slots.,"System displays ""No available slots"".",Not Implemented,Fail,
TC29,Reschedule - Cancel Operation,1. Initiates reschedule. 2. Clicks Cancel.,System aborts process. Original appointment remains.,Not Implemented,Fail,
TC30,Reschedule Past Appointment,1. Tries to reschedule past appointment.,System prevents action. Button disabled or error shown.,Not Implemented,Fail,
TC31,Successful Cancellation,1. Selects appointment. 2. Clicks Cancel. 3. Confirms.,System confirms cancellation. Slot freed.,Not Implemented,Fail,
TC32,Cancellation - Deny Confirmation,1. Initiates cancellation. 2. Clicks No/Cancel.,Process aborted. Appointment remains.,Not Implemented,Fail,
TC33,Cancel Past Appointment,1. Tries to cancel past appointment.,System prevents action.,Not Implemented,Fail,
TC34,Cancel Already Cancelled Appointment,1. Navigates to cancelled appointment. 2. Tries to cancel again.,System does not allow action.,Not Implemented,Fail,
TC35,Successful Login & Navigation (Doctor),1. Doctor logs in. 2. Navigates to Scheduling.,Doctor lands on scheduling management page.,Doctor is logged in and successfully lands on the scheduling/availability management page.,Pass,
TC36,Set New Availability (Add Slots),1. Doctor navigates to scheduling. 2. Adds new slots. 3. Saves.,System confirms update. New slots added.,System confirms the update. New slots added.,Pass,
TC37,Update Existing Availability,1. Doctor navigates to scheduling. 2. Modifies slot. 3. Saves.,System confirms update. Slot modified.,System confirms the update. Slot modified.,Pass,
TC38,Delete Availability (Remove Slots),1. Doctor navigates to scheduling. 2. Deletes slot. 3. Saves.,System confirms update. Slot removed.,System confirms the update. Slot removed.,Pass,
TC39,Cancel Edit Operation,1. Doctor makes changes. 2. Clicks Cancel.,System discards unsaved changes.,The system discards all unsaved changes.,Pass,
TC40,Save with No Changes,1. Doctor initiates edit. 2. Makes no changes. 3. Saves.,System saves without error or returns to view mode.,The system saves without error.,Pass,
TC41,Successful Login & View Pending Requests,1. Doctor logs in. 2. Navigates to Follow-up Requests.,System displays list of pending requests.,Not Implemented,Fail,
TC42,View Pending Requests - No Requests,1. Doctor logs in. 2. Navigates to Follow-up.,"System displays ""No pending requests"".",Not Implemented,Fail,
TC43,Reject Follow-up Request,1. Doctor selects request. 2. Clicks Reject. 3. Confirms.,Request removed from list. Confirmation shown.,Not Implemented,Fail,
TC44,Reject Request - Cancel Operation,1. Initiates rejection. 2. Clicks Cancel.,Cancellation successful. Request remains.,Not Implemented,Fail,
TC45,Action Persistence & List Update,1. Doctor acts on request. 2. Refreshes page.,List updated consistently. Request removed/marked.,Not Implemented,Fail,
TC46,Unauthorized Access Block,1. Patient logs in. 2. Tries to access doctor URL.,System blocks access. Redirects or shows error.,"The system blocks access, redirecting the user to their own dashboard",Pass,
